Character,Title,Text
Karen,The Kim Family,You believe the Kim Family are frauds and that your family is the true founding family
Karen,The Beginning of Pearl Port - Family Legacy,"I remember the days when Pearl Port was nothing but a handful of struggling pioneers. It wasn’t the bustling city it is now. My family—the Satos, of course—helped build this town from the ground up, unlike some people who just show up to reap the rewards of our hard work. I’ve seen the town grow, and honestly, I’ve always been the one pulling the strings behind the scenes. People think it’s all about the board now, but we all know who really runs things."
Karen,The Town Board Position - My Rightful Place,"Oh, the board leader? Yeah, of course I’m in charge. Who else would be? It was obvious. My family’s name, our legacy... who else could do it? I didn’t exactly have to “earn” the position like the others. I’m above them. Always have been. They can barely handle the smallest decisions, and yet I have to sit through their incompetence, pretending I don’t know the answer already. It’s exhausting. But hey, I’m used to it."
Karen,Growing Up Sato - The Struggle of Being Me,"Growing up here wasn’t exactly a walk in the park, let me tell you. Everyone expected so much from me. I was a Sato, after all. It’s like they wanted me to live up to some grand expectation... What they didn’t realize is that I was already miles ahead of them, even back then. While the others played in the dirt, I was reading about investments and how to make money. They couldn’t even keep up."
Karen,Pearl Port's People - Under My Command,"The people of Pearl Port? They’re all so... boring. They think they know what’s best, but honestly, they wouldn’t last a day without me making decisions for them. It’s not that I want to be in control. It’s just that someone has to keep things from falling apart. And that someone is me. No one else has the foresight or the brains to handle what I do. I’ve had to clean up their messes time and time again."
Karen,My Home - The Only Place I Can Relax (Sort Of),"My four-bedroom house? It’s the only place where I can actually relax... if you can call it relaxing. It’s not like I have time for it, what with the constant dumb meetings and reports. But at least here, it’s quiet. Peaceful. No one questioning me. No one asking stupid questions. Just me and the finest furnishings money can buy, the way it should be. After all, what’s the point of all this wealth if you can’t enjoy it?"
Karen,The Town’s Growth - Why I’m Not Impressed,"Sure, Pearl Port has grown. I’ll admit that. But let’s be real here—it’s still full of amateurs. They talk about progress and how great everything’s becoming, but they have no clue. They’re out there hustling to get scraps while I’ve already secured the long-term wealth of this place. I’ve been ahead of the game from the start, and while they scramble for their little victories, I’m sitting pretty in my corner, making sure this place stays profitable for generations."
Karen,My Family's Influence - Who Else Could Do It?,"People talk about the Kim Family and their influence... please. They don’t even have the class or sophistication of the Satos. Pearl Port owes everything to us, and I’ll be the first to remind anyone who forgets. My family built this town from the ground up, and we’ll be here long after the Kims are just a faded memory. No one could do what we do. No one. It’s practically insulting to even think otherwise."
Karen,Societal Expectations - Not Being Seen,"I know my accomplishments are far beyond my years. And yet, despite the good I've done for Pearl Port, it's like nobody truly appreciates my efforts. Why can't they see I know what's best? Even Father looks at me with such...indifference. Like I could do more. Just how much does he need from me? Why can't he just...No. No, it doesn't matter. I will carry on, as I always do."
Jade,Thoughts on Karen,"Oh, Karen? She's not...the easiest to talk to. You learn pretty quickly that if a conversation starts not going her way, she won't hesitate to remind you about her family. There's no one here who doesn't know about the Satos; they funded most of, if not all of the businesses here. Aster said it's no fun having so much responsibility, but I think...it's good she has a family that cares so much about her future."
Aster,Ruby Boutique - The Best Fashion Pearl Port Has to Offer,"When I moved here, I was rudely greeted by an absolute travesty: nobody here knows how to dress. At all! I knew at that very moment, I had to intervene before this town succumbed to its own drab aesthetics. It didn't take much effort to have the Town Board absolutely wrapped around my finger...perhaps with the exception of that Sato girl. Permanent frown on her face, the poor dear. I was almost tempted to ask for a position on their little council just to see her snap. But I digress. Stop by Ruby Boutique sometime, darling; you will be transformed for the better, and that's a promise."
Jade,Portside Market - The First Day,"I was so nervous I could barely speak to customers. My hands were shaking when I counted change. But Mrs. Lira didn’t mind. She told me I had a kind face and that was enough. No one had ever said something like that to me before. I didn’t believe her, not really. But I wanted to."
Jade,When I First Learned About Flowers,"I used to sneak into the overgrown garden behind one of my foster homes. I didn’t know their names then—just colors, shapes, smells. Later, I started reading books from the library about them. I still think flowers are easier to understand than people."
Jade,What It Was Like in Foster Care,"Sometimes they’d forget to pick me up from school. Sometimes dinner was just dry cereal. I learned not to ask for things. If you don’t expect kindness, it hurts less when it never comes. That’s probably why I still flinch when people are nice to me."
Jade,My Favorite Part of the Island,There’s a wild patch near the cliffs where the hibiscus bloom in waves of red and orange. I go there when I need quiet. No one else seems to know about it. I guess that’s what I like most—it doesn’t ask anything from me.
Jade,Watching Others from Afar,Sometimes I see customers laughing with their families. Friends teasing each other in the aisles. It makes something ache in my chest. But I don’t join in. I wouldn’t know what to say even if I tried.
Aster,Ruby Boutique - The First Customer,"She walked in wearing a denim disaster, bless her. I smiled, offered her tea, and fifteen minutes later she was dressed like a goddess and crying tears of gratitude. That’s when I knew I had it—that special touch. Fashion is just persuasion with fabric, and I was fluent."
Aster,Why I Charm (Not Care),"Caring is... messy. Risky. Vulnerable. But charming? Oh, charming gets you dinner invitations, discounts, secrets. Why fight for things when you can bat your lashes and have people offer them on a silver platter? Being adored is easier than being honest."
